time,tweet,compound,pos,neu,neg,sentiment_label
2025-08-23 13:46:59+00:00,"We spend all day researching what's happening in AI so you don't have to...,Join 450,000+ knowledge workers and business",0.0,0.0,1.0,0.0,Neutral
2025-08-23 13:46:59+00:00,"I'll ride Monday to the moon while others are still stuck in their weekend hangover.,Monday deployed to: 0xD00277aB55DaE484a8399F03356Aa7ff3172d047 View on:",-0.25,0.0,0.905,0.095,Negative
2025-08-23 13:46:59+00:00,"Because you do shit like this. Banner new york me lagaoge to India waale dekhnege ya america waale?, Modi NYC Me Ghumta Hai Kya?",-0.3527,0.088,0.773,0.139,Negative
2025-08-23 13:46:59+00:00,"AI20CEO,",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:24+00:00,"FREE YouTube Summaries from AI,Extensions Make you Smarter Faster,Positive",0.7925,0.501,0.499,0.0,Positive
2025-08-23 14:06:24+00:00,"Were thrilled to share our newest partnership with ,Arichain is building a high-performance Layer 1 that b",0.6249,0.298,0.702,0.0,Positive
2025-08-23 14:06:24+00:00,"RING NW: Rl ld t nnun tht u r lgbl fr th $XRP Rwrd rgrm!,1 More information: Invited users:",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:24+00:00,"Radar was already pretty awesome for Crypto.,but now? it is for Stocks too. from companies hoarding digital assets , to o",0.8402,0.36,0.64,0.0,Positive
2025-08-23 14:06:24+00:00,"Hyra Network Wins the Chairmans Award 2025 at WITSA Global AI Summit,A new milestone has just been made. Hyra Network",0.802,0.286,0.714,0.0,Positive
2025-08-23 14:06:24+00:00,"min TAO,just like and twit with and NuanceInspectxyz in min also mindoshare also like and twit with SolyAI",0.6124,0.238,0.762,0.0,Positive
2025-08-23 14:06:24+00:00,",DaysAI",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:23+00:00,"Snowbunny serving her black bull ,Sound on",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:23+00:00,",AI SKT",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:23+00:00,"We dont have Artificial Super Intelligence.,We have Artificial Specialized Intelligence. Claude code Google video ChatGPT conversation Each is an apex predator in its niche. Interestingly, Grok is trying to hunt them all at once.",0.3927,0.145,0.776,0.079,Positive
2025-08-23 14:06:23+00:00,"30 (2 Winners) 12 Hours, RP &amp; F",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:23+00:00,"ai ,MissUniverseThailand2025",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:23+00:00,", /AI/",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:23+00:00,"RP,CA+ 6AI 102 2 7 BOOKERS",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:22+00:00,"PJ,AI",0.0,0.0,1.0,0.0,Neutral
2025-08-23 14:06:22+00:00,"Let me set the mood ,Feeling bold? Finish it",0.4767,0.369,0.631,0.0,Positive
2025-08-23 14:06:22+00:00,"Yall fckn sleeping?? Need ?, AI animals wild polar bear fox penguin shark $OC rules ALL Innovation Global Reach THE FUTURE OF DECENTRALIZED RENTING IS HERE. Join the movement",0.6641,0.199,0.801,0.0,Positive
2025-08-23 13:46:59+00:00,"Disagree.Humans need to learn to love unconditionally again .AI will support population incline .,Aiding humans to h",0.7845,0.33,0.67,0.0,Positive
